Timestamp,"Before the coronavirus crisis, how often did you eat out at a sit-down restaurant?",Currently how often do you eat out at a sit-down restaurant?,Next year how often do you think you'll eat out at a sit-down restaurant?,In what year were you born?,In what zip code do you live?,What is your gender?,What is the highest level of education you have completed?,What is your Amazon Worker ID?
7/17/2020 16:39:03,Once a month,Less than once per month,Less than once per month,1994,08861,Female,High school,A3KK5FKG3L0Q66
7/17/2020 16:39:16,Once a week,Less than once per month,Less than once per month,1976,21286,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A3UN1P6COG2PQF
7/17/2020 16:39:17,Multiple times per week,Less than once per month,Less than once per month,1990,85138,Female,College graduate,A38CDYAQ00NBGE
7/17/2020 16:39:17,Once a week,Less than once per month,Less than once per month,1957,33810,Female,College graduate,A1Z3JC2PW0L1NY
7/17/2020 16:39:26,Once a week,Less than once per month,Less than once per month,1982,49024,Female,College graduate,A3K1P4SPR8XS7R
7/17/2020 16:39:28,Less than once per month,Less than once per month,Less than once per month,1988,02871,Female,College graduate,A3S8IT61UGPM5X
7/17/2020 16:39:37,Once a month,Less than once per month,Less than once per month,1983,66046,Male,High school,A3NFGEUZAH9V5G
7/17/2020 16:39:42,Less than once per month,Less than once per month,Less than once per month,1992,30141,Female,College graduate,A1VEXF7BDDZIMI
7/17/2020 16:39:45,Once a month,Once a month,Once a month,1976,57106,Female,High school,A2KS4K0MBUG3E2
7/17/2020 16:39:46,Once a week,Less than once per month,Once a week,1991,60302,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",ASVU8IUWURJTW
7/17/2020 16:39:47,Multiple time per month,Once a month,Once a week,1985,89120,Female,College graduate,A27O0S1S242HM
7/17/2020 16:39:49,Multiple time per month,Once a month,Multiple time per month,1992,10024,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A1TK9VM3WZDAGP
7/17/2020 16:40:10,Once a month,Multiple time per month,Once a week,1972,93561,Male,College graduate,AZKYZC0QBA36T
7/17/2020 16:40:11,Multiple time per month,Less than once per month,Once a month,1990,35756,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A1HAUHRSK9158F
7/17/2020 16:40:31,Less than once per month,Less than once per month,Once a month,1985,11377,Female,College graduate,A16YBLP6VWRACN
7/17/2020 16:40:33,Multiple time per month,Once a month,Multiple time per month,1994,36303,Other,College graduate,AY1DFLTV8803D
7/17/2020 16:40:36,Once a week,Less than once per month,Less than once per month,1989,63125,Female,High school,AW4ZS69VGLBU3
7/17/2020 16:40:38,Once a week,Less than once per month,Multiple times per week,1995,77656,Male,College graduate,A37DAASX13UR2U
