Timestamp,"Before the coronavirus crisis, how often did you eat out at a sit-down restaurant?",Currently how often do you eat out at a sit-down restaurant?,Next year how often do you think you'll eat out at a sit-down restaurant?,"Currently, about how often do you order takeout?",In what year were you born?,In what zip code do you live?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,What is your Amazon Worker ID?
10/17/2020 15:57:34,Multiple time per month,Less than once per month,Less than once per month,Once a month,1984,11233,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",150000,AE5KSMPSSM4XK
10/17/2020 15:58:30,Once a week,Less than once per month,Once a week,Once a month,1973,60563,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",75000,ACBK30I7R42NI
10/17/2020 15:58:36,Multiple times per week,Multiple times per week,Multiple times per week,Multiple time per month,1979,74012,Male,College graduate,75000,A2JC65REBH7706
10/17/2020 15:58:41,Once a month,Multiple time per month,Once a week,Once a week,1995,02860,Male,College graduate,12000,A30CTVIHEVV9I8
10/17/2020 15:58:51,Once a week,Less than once per month,Less than once per month,Once a week,1984,48085,Male,College graduate,55000,A2CSV75E3JT58Y
10/17/2020 15:58:51,Multiple time per month,Once a month,Once a month,Once a week,1971,19610,Female,College graduate,150000,A3PFF1CFXRYNHG
10/17/2020 15:58:53,Less than once per month,Less than once per month,Less than once per month,Less than once per month,1993,02114,Female,College graduate,119000,A3TRHAG4OHCNHD
10/17/2020 15:58:55,Multiple time per month,Multiple time per month,Multiple time per month,Multiple time per month,1987,30122,Female,College graduate,50000,AQ22FKL8ZY8WR
10/17/2020 15:58:58,Multiple times per week,Multiple time per month,Multiple times per week,Once a week,1980,11542,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",185000,AKSLU0C30G3JT
10/17/2020 15:59:01,Multiple time per month,Less than once per month,Multiple time per month,Once a week,1969,30534,Female,College graduate,75000,AQXC1EVIPJPNJ
10/17/2020 15:59:04,Once a week,Less than once per month,Multiple time per month,Once a week,1997,97401,Female,College graduate,37500,A3720E38DB4LL7
10/17/2020 15:59:06,Multiple time per month,Less than once per month,Multiple time per month,Once a week,1961,34211,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",70000,A3A5H4WQNFLXI8
10/17/2020 15:59:24,Multiple time per month,Multiple time per month,Multiple time per month,Multiple time per month,1954,07060,Male,College graduate,99950,A3DFL72CC0P7UE
10/17/2020 15:59:24,Once a week,Less than once per month,Less than once per month,Once a week,1997,38111,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",10000,A1IHEHV0QR99C6
10/17/2020 15:59:26,Multiple time per month,Less than once per month,Multiple time per month,Multiple times per week,1990,42101,Male,College graduate,50000,A34STBV3ZX0Z5T
10/17/2020 15:59:29,Once a month,Once a month,Once a week,Once a week,1989,95833,Female,College graduate,100000,AQW9MULFS4JHD
10/17/2020 15:59:33,Multiple time per month,Less than once per month,Less than once per month,Once a week,1976,21286,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",149000,A3UN1P6COG2PQF
10/17/2020 15:59:53,Multiple time per month,Less than once per month,Less than once per month,Multiple time per month,1971,68134,Male,College graduate,99000,AZT19Y8A0811M
10/17/2020 16:00:01,Multiple times per week,Once a week,Multiple times per week,Multiple times per week,1985,76040,Male,College graduate,2500,A13YTGRLTS80MU
10/17/2020 16:00:04,Multiple times per week,Once a month,Once a week,Multiple times per week,1998,84106,Female,College graduate,55000,A1I3UQ6MCOD284
10/17/2020 16:00:05,Multiple time per month,Less than once per month,Less than once per month,Multiple times per week,1961,79331,Male,High school,15000,AJNN0QOULOPHJ
10/17/2020 16:00:12,Once a month,Less than once per month,Multiple time per month,Multiple time per month,1994,24401,Female,College graduate,60000,A21AU7Z1O05QS2
10/17/2020 16:00:16,Multiple time per month,Less than once per month,Less than once per month,Multiple times per week,1955,34243,Male,High school,24999,A34AQDMF5GVHVY
10/17/2020 16:00:22,Once a week,Once a week,Multiple time per month,Multiple time per month,1991,18103,Male,College graduate,50000,A1G187YBG0DVMQ
10/17/2020 16:00:27,Multiple time per month,Multiple times per week,Once a week,Multiple time per month,1996,62095,Male,College graduate,16000,A2UYSCU8IKU2XD
10/17/2020 16:00:29,Multiple time per month,Multiple time per month,Multiple time per month,Less than once per month,1978,80134,Male,College graduate,80000,A2ZVT2FAFGDRRK
10/17/2020 16:00:30,Multiple time per month,Once a month,Once a week,Once a month,1986,87106,Male,College graduate,76000,A103BJIOJSDJL1
10/17/2020 16:00:37,Multiple times per week,Less than once per month,Multiple time per month,Once a week,1992,83402,Female,College graduate,40000,A10A11TCOM83XU
10/17/2020 16:00:42,Multiple times per week,Less than once per month,Once a week,Multiple times per week,1978,60516,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",75000,A5BTIBI6ZKYLD
10/17/2020 16:00:59,Multiple times per week,Multiple time per month,Multiple times per week,Multiple times per week,1981,60613,Male,College graduate,120000,A2WCLNA0YGD816
10/17/2020 16:01:16,Once a week,Once a month,Multiple time per month,Multiple time per month,1980,76667,Female,High school,50000,A25DOO3I8IXSR3
10/17/2020 16:01:34,Multiple time per month,Less than once per month,Multiple time per month,Multiple time per month,1992,93035,Female,High school,61000,AB8KNX3LINNX4
10/17/2020 16:01:35,Multiple times per week,Once a week,Multiple times per week,Multiple times per week,1992,10036,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",10000,A345TDMHP3DQ3G
10/17/2020 16:01:36,Multiple time per month,Less than once per month,Multiple time per month,Less than once per month,1983,10033,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",200000,A17DXR1QC8GWL8
